company;from_lat;from_lan;to_lat;to_lan;distance;depart;duration;driver_sex;driver_age;price
1;33.3699749;-7.5879118;33.6958383;-7.3893292;40.65411568811936;07:50;57.0;1;0;68.0
1;33.3699749;-7.5879118;33.6958383;-7.3893292;40.65411568811936;07:50;100.0;1;0;68.0
1;33.3699749;-7.5879118;33.6958383;-7.3893292;40.65411568811936;11:50;57.0;1;0;68.0
1;33.3699749;-7.5879118;33.6958383;-7.3893292;40.65411568811936;11:50;100.0;1;0;68.0
1;33.3699749;-7.5879118;33.6958383;-7.3893292;40.65411568811936;16:50;57.0;1;0;68.0
1;33.3699749;-7.5879118;33.6958383;-7.3893292;40.65411568811936;16:50;100.0;1;0;68.0
1;33.3699749;-7.5879118;34.677874;-1.929306;541.4696054186701;07:50;253.0;1;0;158.0
1;33.3699749;-7.5879118;34.677874;-1.929306;541.4696054186701;11:50;250.0;1;0;180.0
1;33.3699749;-7.5879118;33.9983119;-6.8542908;97.44192481357467;07:50;89.0;1;0;90.0
1;33.3699749;-7.5879118;33.9983119;-6.8542908;97.44192481357467;07:50;115.0;1;0;100.0
1;33.3699749;-7.5879118;33.9983119;-6.8542908;97.44192481357467;07:50;140.0;1;0;90.0
1;33.3699749;-7.5879118;33.9983119;-6.8542908;97.44192481357467;11:50;89.0;1;0;90.0
1;33.3699749;-7.5879118;33.9983119;-6.8542908;97.44192481357467;11:50;140.0;1;0;90.0
1;33.3699749;-7.5879118;33.9983119;-6.8542908;97.44192481357467;16:50;89.0;1;0;90.0
1;33.3699749;-7.5879118;33.9983119;-6.8542908;97.44192481357467;16:50;115.0;1;0;100.0
1;33.3699749;-7.5879118;33.9983119;-6.8542908;97.44192481357467;16:50;115.0;1;0;100.0
1;33.3699749;-7.5879118;34.0385371;-6.8155282;103.14074506243348;07:50;94.0;1;0;90.0
1;33.3699749;-7.5879118;34.0385371;-6.8155282;103.14074506243348;07:50;145.0;1;0;90.0
1;33.3699749;-7.5879118;34.0385371;-6.8155282;103.14074506243348;11:50;94.0;1;0;90.0
1;33.3699749;-7.5879118;34.0385371;-6.8155282;103.14074506243348;11:50;145.0;1;0;90.0
1;33.3699749;-7.5879118;34.0385371;-6.8155282;103.14074506243348;16:50;94.0;1;0;90.0
1;33.3699749;-7.5879118;34.0385371;-6.8155282;103.14074506243348;16:50;145.0;1;0;90.0
1;33.3699749;-7.5879118;34.044889;-6.814017;103.74592823042049;07:50;103.0;1;0;94.0
1;33.3699749;-7.5879118;34.044889;-6.814017;103.74592823042049;07:50;153.0;1;0;94.0
1;33.3699749;-7.5879118;34.044889;-6.814017;103.74592823042049;11:50;103.0;1;0;94.0
1;33.3699749;-7.5879118;34.044889;-6.814017;103.74592823042049;11:50;153.0;1;0;94.0
1;33.3699749;-7.5879118;34.044889;-6.814017;103.74592823042049;16:50;103.0;1;0;94.0
1;33.3699749;-7.5879118;34.044889;-6.814017;103.74592823042049;16:50;153.0;1;0;94.0
1;33.3699749;-7.5879118;34.045;-6.807;104.20398955291432;07:50;107.0;1;0;94.0
1;33.3699749;-7.5879118;34.045;-6.807;104.20398955291432;07:50;157.0;1;0;94.0
1;33.3699749;-7.5879118;34.045;-6.807;104.20398955291432;11:50;107.0;1;0;94.0
1;33.3699749;-7.5879118;34.045;-6.807;104.20398955291432;11:50;156.0;1;0;94.0
1;33.3699749;-7.5879118;34.045;-6.807;104.20398955291432;16:50;107.0;1;0;94.0
1;33.3699749;-7.5879118;34.045;-6.807;104.20398955291432;16:50;157.0;1;0;94.0
1;33.3699749;-7.5879118;33.90313;-5.37814;213.05315727522998;07:50;242.0;1;0;154.0
1;33.3699749;-7.5879118;33.002397;-7.619867;40.9936950702177;07:50;98.0;1;0;82.0
1;33.3699749;-7.5879118;33.002397;-7.619867;40.9936950702177;11:50;98.0;1;0;89.0
1;33.3699749;-7.5879118;33.002397;-7.619867;40.9936950702177;11:50;128.0;1;0;82.0
1;33.3699749;-7.5879118;33.002397;-7.619867;40.9936950702177;16:50;98.0;1;0;82.0
1;33.3699749;-7.5879118;34.226412;-5.711434;197.87986799445585;07:50;182.0;1;0;126.0
1;33.3699749;-7.5879118;34.226412;-5.711434;197.87986799445585;11:50;182.0;1;0;142.0
1;33.3699749;-7.5879118;34.226412;-5.711434;197.87986799445585;16:50;179.0;1;0;126.0
1;33.3699749;-7.5879118;34.2737827;-5.9806831;179.33936681241443;07:50;166.0;1;0;123.0
1;33.3699749;-7.5879118;34.2737827;-5.9806831;179.33936681241443;11:50;166.0;1;0;138.0
1;33.3699749;-7.5879118;34.2737827;-5.9806831;179.33936681241443;16:50;163.0;1;0;123.0
1;33.3699749;-7.5879118;33.8581487;-7.0441695;74.06243622552228;07:50;122.0;1;0;80.0
1;33.3699749;-7.5879118;33.8581487;-7.0441695;74.06243622552228;16:50;122.0;1;0;80.0
1;33.3699749;-7.5879118;35.7714427;-5.7861399;313.9629552836123;07:50;200.0;1;0;237.0
1;33.3699749;-7.5879118;35.7714427;-5.7861399;313.9629552836123;16:50;200.0;1;0;199.0
1;33.3699749;-7.5879118;33.917166;-6.923804;86.52199174448398;07:50;130.0;1;0;85.0
1;33.3699749;-7.5879118;33.917166;-6.923804;86.52199174448398;16:50;130.0;1;0;85.0
1;30.42018;-9.59815;33.3699749;-7.5879118;379.04298918845484;00:30;485.0;1;0;270.0
1;30.42018;-9.59815;33.3699749;-7.5879118;379.04298918845484;14:15;500.0;1;0;270.0
1;30.42018;-9.59815;33.3699749;-7.5879118;379.04298918845484;15:00;455.0;1;0;270.0
1;30.42018;-9.59815;34.2296268;-6.528318;512.566982802329;00:30;427.0;1;0;220.0
1;30.42018;-9.59815;34.2296268;-6.528318;512.566982802329;07:15;442.0;1;0;220.0
1;30.42018;-9.59815;34.2296268;-6.528318;512.566982802329;08:00;397.0;1;0;220.0
1;30.42018;-9.59815;34.2296268;-6.528318;512.566982802329;09:00;397.0;1;0;240.0
1;30.42018;-9.59815;34.2296268;-6.528318;512.566982802329;11:00;397.0;1;0;220.0
1;30.42018;-9.59815;34.2296268;-6.528318;512.566982802329;13:00;397.0;1;0;220.0
1;30.42018;-9.59815;34.2296268;-6.528318;512.566982802329;14:15;452.0;1;0;220.0
1;30.42018;-9.59815;34.2296268;-6.528318;512.566982802329;14:15;452.0;1;0;220.0
1;30.42018;-9.59815;34.2296268;-6.528318;512.566982802329;15:00;407.0;1;0;220.0
1;30.42018;-9.59815;33.940302;-5.208052;569.1892300281229;07:15;648.0;1;0;297.0
1;30.42018;-9.59815;33.940302;-5.208052;569.1892300281229;08:00;603.0;1;0;297.0
1;30.42018;-9.59815;35.461928;-6.036545;651.8059232335011;00:30;755.0;1;0;306.0
1;30.42018;-9.59815;32.235967;-7.946685;255.74965414904764;00:30;304.0;1;0;146.0
1;30.42018;-9.59815;32.235967;-7.946685;255.74965414904764;07:15;319.0;1;0;146.0
1;30.42018;-9.59815;32.235967;-7.946685;255.74965414904764;08:00;274.0;1;0;146.0
1;30.42018;-9.59815;32.235967;-7.946685;255.74965414904764;09:00;274.0;1;0;166.0
1;30.42018;-9.59815;32.235967;-7.946685;255.74965414904764;11:00;274.0;1;0;146.0
1;30.42018;-9.59815;32.235967;-7.946685;255.74965414904764;13:00;274.0;1;0;146.0
1;30.42018;-9.59815;32.235967;-7.946685;255.74965414904764;14:15;329.0;1;0;146.0
1;30.42018;-9.59815;32.235967;-7.946685;255.74965414904764;14:15;329.0;1;0;146.0
1;30.42018;-9.59815;32.235967;-7.946685;255.74965414904764;15:00;284.0;1;0;146.0
1;30.42018;-9.59815;33.2676746;-7.5811465;369.62209810472723;00:30;388.0;1;0;198.0
1;30.42018;-9.59815;33.2676746;-7.5811465;369.62209810472723;07:15;403.0;1;0;198.0
1;30.42018;-9.59815;33.2676746;-7.5811465;369.62209810472723;08:00;358.0;1;0;198.0
1;30.42018;-9.59815;33.2676746;-7.5811465;369.62209810472723;09:00;358.0;1;0;218.0
1;30.42018;-9.59815;33.2676746;-7.5811465;369.62209810472723;11:00;358.0;1;0;198.0
1;30.42018;-9.59815;33.2676746;-7.5811465;369.62209810472723;13:00;358.0;1;0;198.0
1;30.42018;-9.59815;33.2676746;-7.5811465;369.62209810472723;14:15;413.0;1;0;198.0
1;30.42018;-9.59815;33.2676746;-7.5811465;369.62209810472723;14:15;413.0;1;0;198.0
1;30.42018;-9.59815;33.2676746;-7.5811465;369.62209810472723;15:00;368.0;1;0;198.0
1;30.42018;-9.59815;33.5903553;-7.5896849;400.25948160214057;00:30;418.0;1;0;220.0
1;30.42018;-9.59815;33.5903553;-7.5896849;400.25948160214057;07:15;433.0;1;0;220.0
